"51.877","-176.645"
"61.173","-149.997"
"71.284","-156.767"
"60.777","-161.836"
"55.205","-162.723"
"60.491","-145.476"
"70.195","-148.465"
"59.044","-158.505"
"64.815","-147.856"
"68.479","-149.489"
"58.424","-135.707"
"59.645","-151.475"
"58.354","-134.575"
"60.572","-151.244"
"55.354","-131.711"
"58.675","-156.648"
"57.749","-152.493"
"66.884","-162.598"
"64.512","-165.444"
"56.801","-132.945"
"66.814","-150.643"
"57.046","-135.361"
"53.898","-166.544"
"61.133","-146.244"
"56.484","-132.369"
"59.503","-139.660"
"33.587","-85.858"
"33.563","-86.752"
"31.320","-85.449"
"34.636","-86.774"
"30.626","-88.067"
"30.691","-88.242"
"32.300","-86.393"
"34.744","-87.610"
"33.219","-87.611"
"36.005","-94.169"
"36.280","-94.307"
"35.336","-94.366"
"34.477","-93.095"
"34.728","-92.224"
"33.453","-93.990"
"35.155","-114.559"
"35.139","-111.668"
"31.588","-110.344"
"35.952","-112.146"
"35.259","-113.937"
"36.925","-111.448"
"35.985","-113.816"
"33.433","-112.011"
"33.307","-111.655"
"34.654","-112.418"
"34.265","-110.005"
"32.116","-110.940"
"32.656","-114.605"
"40.977","-124.108"
"35.433","-119.057"
"34.200","-118.358"
"33.127","-117.279"
"39.795","-121.858"
"37.989","-122.056"
"41.779","-124.236"
"36.775","-119.718"
"32.833","-115.578"
"35.658","-117.828"
"33.817","-118.151"
"33.942","-118.408"
"37.623","-118.838"
"37.284","-120.513"
"37.625","-120.954"
"36.586","-121.842"
"37.720","-122.220"
"34.056","-117.601"
"34.200","-119.207"
"33.829","-116.506"
"40.509","-122.293"
"38.695","-121.590"
"34.095","-117.234"
"32.733","-117.189"
"37.618","-122.374"
"37.362","-121.928"
"35.236","-120.642"
"33.675","-117.867"
"34.425","-119.841"
"34.899","-120.458"
"38.509","-122.812"
"38.893","-119.995"
"37.893","-121.237"
"34.597","-117.382"
"36.317","-119.392"
"37.434","-105.866"
"39.221","-106.867"
"38.805","-104.700"
"37.303","-108.627"
"39.861","-104.672"
"39.908","-105.116"
"37.151","-107.753"
"39.642","-106.915"
"40.451","-105.011"
"39.121","-108.526"
"38.533","-106.932"
"40.480","-107.217"
"38.509","-107.893"
"38.289","-104.497"
